"X10RR[1,3]","X10RR[3,3]",Delta_chisquare
-3.5,2.100000000000005,997757.2823525843
-3.5,2.200000000000005,1000658.2497829841
-3.5,2.300000000000005,1003977.2985844014
-3.5,2.4000000000000052,1007753.2799101005
-3.5,2.5000000000000053,1012026.8500487183
-3.5,2.6000000000000054,1016840.4883256214
-3.5,2.7000000000000055,1022238.5173985757
-3.5,2.8000000000000056,1028267.1261517978
-3.5,2.9000000000000057,1034974.3954007851
-3.5,3.0000000000000058,1042410.3266286531
-3.5,3.100000000000006,1050626.8739830356
-3.5,3.200000000000006,1059677.979770939
-3.5,3.300000000000006,1069619.6136972592
-3.5,3.400000000000006,1080509.816101011
-3.4,-3.5,876225.6837957319
-3.4,-3.4,865612.6264878729
-3.4,-3.3,855900.0307277538
-3.4,-3.1999999999999997,847034.0021999597
-3.4,-3.0999999999999996,838962.5777298376
-3.4,-2.9999999999999996,831635.6777871817
-3.4,-2.8999999999999995,825005.0632500023
-3.4,-2.7999999999999994,819024.2961660094
-3.4,-2.6999999999999993,813648.7042577588
-3.4,-2.599999999999999,808835.348925752
-3.4,-2.499999999999999,804542.9965120985
-3.4,-2.399999999999999,800732.0925956854
-3.4,-2.299999999999999,797364.739098127
-3.4,-2.199999999999999,794404.6739880946
-3.4,-2.0999999999999988,791817.2533799587
-3.4,-1.9999999999999987,789569.4358310038
-3.4,-1.8999999999999986,787629.7686498052
-3.4,-1.7999999999999985,785968.3760366857
-3.4,-1.6999999999999984,784556.9488855035
-3.4,-1.5999999999999983,783368.7360843461
-3.4,-1.4999999999999982,782378.5371610386
-3.4,-1.3999999999999981,781562.6961277032
-3.4,-1.299999999999998,780899.096386934
-3.4,-1.199999999999998,780367.1565704851
-3.4,-1.0999999999999979,779947.8271896923
-3.4,-0.9999999999999978,779623.5879851867
-3.4,-0.8999999999999977,779378.4458717807
-3.4,-0.7999999999999976,779197.9333827385
-3.4,-0.6999999999999975,779069.1075259751
-3.4,-0.5999999999999974,778980.5489730532
-3.4,-0.49999999999999734,778922.3615101798
-3.4,-0.39999999999999725,778886.1716887305
-3.4,-0.29999999999999716,778865.128621163
-3.4,-0.19999999999999707,778853.9038765077
-3.4,-0.09999999999999698,778848.6914379518
-3.4,3.1086244689504383e-15,778847.2076933663
-3.4,0.1000000000000032,778848.6914379518
-3.4,0.2000000000000033,778853.9038765077
-3.4,0.3000000000000034,778865.128621163
-3.4,0.40000000000000346,778886.1716887305
-3.4,0.5000000000000036,778922.3615101798
-3.4,0.6000000000000036,778980.5489730532
-3.4,0.7000000000000037,779069.1075259751
-3.4,0.8000000000000038,779197.9333827385
-3.4,0.9000000000000039,779378.4458717807
-3.4,1.000000000000004,779623.5879851867
-3.4,1.100000000000004,779947.8271896923
-3.4,1.2000000000000042,780367.1565704851
-3.4,1.3000000000000043,780899.0963869342
-3.4,1.4000000000000044,781562.6961277032
-3.4,1.5000000000000044,782378.5371610386
-3.4,1.6000000000000045,783368.7360843461
-3.4,1.7000000000000046,784556.9488855036
-3.4,1.8000000000000047,785968.3760366858
-3.4,1.9000000000000048,787629.7686498053
-3.4,2.000000000000005,789569.435831004
-3.4,2.100000000000005,791817.2533799588
-3.4,2.200000000000005,794404.6739880947
-3.4,2.300000000000005,797364.7390981272
-3.4,2.4000000000000052,800732.0925956856
-3.4,2.5000000000000053,804542.9965120987
-3.4,2.6000000000000054,808835.3489257522
-3.4,2.7000000000000055,813648.704257759
-3.4,2.8000000000000056,819024.2961660097
-3.4,2.9000000000000057,825005.0632500028
-3.4,3.0000000000000058,831635.677787182
-3.4,3.100000000000006,838962.5777298381
-3.4,3.200000000000006,847034.0021999602
-3.4,3.300000000000006,855900.0307277543
-3.4,3.400000000000006,865612.6264878736
